threadview_response_info,threadview_response_body,threadview_response_body href,threadview_response_body_be src,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_link (2)
"垢版
|
0198 トラースキック(東京都) [US] 2025/11/26(水) 16:18:18.96","台湾はサンフランシスコ平和条約と台湾関係法に基づいて
主たる占領国アメリカを元締めに中華民国亡命政府が代理で継続占領する日本領
カイロ宣言やポツダム宣言は当事国アメリカにも既に否定されて中国への台湾返還が行われた史実も存在しない

日本もアメリカも国連も中共を正統中国と認めているがその中国に台湾が含まれると認めたことは従来一度もない
台湾が中国の一部であるの主張は何ら根拠が存在しないし日中共同声明にしても台湾の帰属を規定しておらず元来規定できる立場にも無い
従って中国が台湾に侵攻すればそれは侵略であり当然の如く日米安保の対象になる

アメリカは先日在台湾の出先機関であるAIT米国在台湾協会が「中国は台湾の一部ではない」「カイロポツダム両宣言は紙屑だ」と明言している
中共自身がそのことを分かっているからこそ国連に「台湾領有の根拠を示せ」と言われても未だに出すことができず
台湾に侵攻も出来ず口先の虚勢に終始してんだよ事情を知らないのは五毛パヨのみ",,,,,,ID:XCp1Yjer0(1/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0199 トラースキック(東京都) [US] 2025/11/26(水) 16:20:04.24","アホパヨってやっぱ高市答弁を全く理解してねえから結論も明後日の方向にしか行かないｗ
全てアメリカがどう関わるかの問題が大前提なのにそれを意図的にすっ飛ばす
現行憲法の成り立ちを騙るのに占領軍の存在を見ないふりするのと同類の詭弁だわ
てか台湾の名を騙る中華民国も偉そうなことは言えんぞ問題の元凶はお前らの史実捏造だからな",,,,,,ID:XCp1Yjer0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0200 ファイナルカット(茸) [EG] 2025/11/26(水) 16:43:13.44","だって高市さんはそんな意味で発言してないモノwww

3軒隣が放火で火事になったらウチも消化器とか水バケツを用意して、子供や老人は避難させるかもしれない、もしそういうことがあったならだけどね

ってレベルの話",,,,,,ID:i8HvQVoB0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0201 サソリ固め(庭) [ﾆﾀﾞ] 2025/11/26(水) 16:43:54.51",">>168
なに言ってんだお前",,,,>>168,,ID:CmhCGqRW0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0202 ミドルキック(庭) [ﾆﾀﾞ] 2025/11/26(水) 17:12:56.77","わかってやれよ
バカ市の脳みそじゃ、賢い答え方なんて出来ないんでしょ",,,,,,ID:LIncrJR00,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0203 ボマイェ(愛媛県) [US] 2025/11/26(水) 17:29:33.77","キチガイバカメディアに騙された支那カスだけがクソマヌケだったな
あとゾンビ岡田はそろそろ殺されて良いと思う",,,,,,ID:kgTdB2z40,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0204 スターダストプレス(庭) [US] 2025/11/26(水) 17:31:29.57","境界知能共のミスリードを誘う為に記事も曖昧にしてるけど
日本の直接的な武力介入は依然として不明瞭なまま
時の政権の判断になるだろうという台湾側の応対は正解",,,,,,ID:Ij/p1+9i0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0205 エルボーバット(石川県) [KZ] 2025/11/26(水) 17:35:17.59",その「日本が台湾を防衛する」と解釈できない発言で発狂する中国,,,,,,ID:nf6Yt24L0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0206 栓抜き攻撃(茸) [EU] 2025/11/26(水) 17:36:53.67",">>2
領事の暴走発言を撤回すると面子が守れないから、後に引けない状況になってる

ちなみに習近平が権力失って引きずり降ろされても、面子を守る為に表向きは処分されないし政策を肯定し続ける
でも実際は権力を奪って表舞台に立たせない

それが、面子の国と言われる所以",,,,>>2,,ID:PVUYvtjc0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0207 ファイヤーバードスプラッシュ(茸) [IN] 2025/11/26(水) 17:40:15.37",">>1
お人形遊びやめーや",,,,>>1,,ID:sjP3B0Sj0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0208 アンクルホールド(大阪府) [US] 2025/11/26(水) 17:44:36.63","防衛するわけないだろw
そんな法律はないw",,,,,,ID:Tqd0yQPV0(1/5),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0209 フロントネックロック(庭) [US] 2025/11/26(水) 17:47:02.74","台湾外交部「高市の言ってること前からの日本政府の見解と変わらないし別にこっちも日本に防衛アテにしてないのに中国はマジで何にキレてるの？」
だと思う",,,,,,ID:d6dc6N1F0,2,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0210 マスク剥ぎ(大阪府) [MY] 2025/11/26(水) 17:48:25.21",中国による海上封鎖が存立危機事態になるかどうか？,,,,,,ID:ddHdgsp40,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0211 アンクルホールド(大阪府) [US] 2025/11/26(水) 17:48:32.22",">>209
それな
でも台湾は中共の真意わかってる",,,,>>209,,ID:Tqd0yQPV0(2/5),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0212 アンクルホールド(大阪府) [US] 2025/11/26(水) 17:54:27.33","中共は首狩り族だが頭いいやつも下の方に居て、台湾への武力侵攻に日本がどの程度関与してくる、出来るかは分析し上げてるだろう
今回の件の真意は
・アカピーの誤報から着火した面子
・また高市政権のレームダック化",,,,,,ID:Tqd0yQPV0(3/5),2,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0213 デンジャラスバックドロップ(茸) [US] 2025/11/26(水) 18:05:47.86",">>209
発達障害特有のアクロバティック解釈が普通に出てくる、多様性の板ニュー速板",,,,>>209,,ID:ciY8QM1x0(1/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0214 かかと落とし(岐阜県) [US] 2025/11/26(水) 18:17:41.02",">>212
首刈り族は台湾人だろ
日本人の遭難者を無残にも殺した",,,,>>212,,ID:X1GsBXiJ0(3/5),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0215 ムーンサルトプレス(みょ) [BR] 2025/11/26(水) 18:21:25.14",">>212
トランプでさえ避けてるのに台湾防衛に言及するのはジョー・バイデン級の病人でないと出来ない",,,,>>212,,ID:S8wSevHo0(2/2),2,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0216 かかと落とし(岐阜県) [US] 2025/11/26(水) 18:22:41.88",">>215
いや台湾には米軍人もいるし日本人や日本語話者もたくさんいる
普通に自衛権の対象だろ",,,,>>215,,ID:X1GsBXiJ0(4/5),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0217 デンジャラスバックドロップ(茸) [US] 2025/11/26(水) 18:24:41.17",">>215
これ言うたびニュー速民発狂してたけど、対中締め付け政策はトランプよりバイデンの方が強硬だったからな",,,,>>215,,ID:ciY8QM1x0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0218 名無しさん＠涙目です。(大阪府) [US] 2025/11/26(水) 18:57:06.22",">>214
よく知ってるな
だがそれはずっと昔の話し
それに領事が首狩り族とは意味違う",,,,>>214,,ID:Tqd0yQPV0(4/5),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0219 ジャーマンスープレックス(庭) [US] 2025/11/26(水) 19:09:03.20","首狩り族はワロタw
それはもっと言ってやって良いꉂ🤣𐤔",,,,,,ID:006Th+HU0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0220 クロスヒールホールド(東京都) [ES] 2025/11/26(水) 19:12:06.25","正確に理解してるじゃないか

中共が早とちりというか拡大解釈というか、ナイーブというか",,,,,,ID:2Jr08iUE0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0221 スリーパーホールド(茸) [US] 2025/11/26(水) 19:48:50.61",">>2
高市を下ろせれば理由は何でもよかった",,,,>>2,,ID:m4lz9Bpv0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0222 膝靭帯固め(ジパング) [TW] 2025/11/26(水) 19:59:13.55",中国向けに発言したわけでもないのに,,,,,,ID:gdvc3hAP0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0223 エクスプロイダー(大阪府) [FR] 2025/11/26(水) 20:43:55.33",高市詰んだな,,,,,,ID:ZZZGrfNq0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0224 ムーンサルトプレス(庭) [JP] 2025/11/26(水) 20:49:42.57",">>2
岡田が鬼の首を取ったかのように誇張して中国父さんに報告したんじゃ？",,,,>>2,,ID:6Vi+kdjg0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0225 アンクルホールド(大阪府) [US] 2025/11/26(水) 20:58:12.73",発端は戦争新聞アカピーかと,,,,,,ID:Tqd0yQPV0(5/5),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0226 ジャンピングパワーボム(神奈川県) [GR] 2025/11/26(水) 21:05:02.24","ぜんぜん鉤括弧のような内容じゃなくて笑う
にほんごむずかしいですよね",,,,,,ID:upVlhMRY0(1/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0227 ジャンピングパワーボム(神奈川県) [GR] 2025/11/26(水) 21:07:46.68","＞台湾メディアによりますと、外交部は24日の報告で、いわゆる「台湾有事」に関して日本政府は戦略的に曖昧（あいまい）な立場を維持していると指摘したうえで、日本政府の意思決定はアメリカの動向や日本の世論など、多くの要因の影響を受けると分析しました。
＞　そして、高市総理の答弁内容から直接、「日本が台湾を防衛する」と解釈するのは難しいという判断を示したということです。

濁してくれてるだけだろ",,,,,,ID:upVlhMRY0(2/2),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0228 かかと落とし(岐阜県) [US] 2025/11/26(水) 22:50:12.67",">>218
は？日本統治下でも台湾人は運動会に乱入して子供たちの首を切り落とした",,,,>>218,,ID:X1GsBXiJ0(5/5),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0229 グロリア(愛知県) [US] 2025/11/27(木) 01:15:05.55",">>1
シナ国のスパイですか？www
日本では誰も信じませんよwwwwww
だってお前が意味不明のキチガイだからwwwwwwwww",,,,>>1,,ID:0ZymNaS40(1/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0230 シューティングスタープレス(SB-Android) [US] 2025/11/27(木) 01:41:05.11","物凄く高度な外交ロジックだな
これを一元的かつ表層的に捉えて
プヒャーwとか書き込む馬鹿は永遠に虫以下の損剤",,,,,,ID:66BQYowI0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0231 張り手(庭) [ﾆﾀﾞ] 2025/11/27(木) 03:57:23.50","高市（笑）
全方向からはしご外されてるな（笑）",,,,,,ID:tLJ5owZb0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0232 エクスプロイダー(大阪府) [FR] 2025/11/27(木) 04:19:15.02",またハシゴを外されたのか高市www,,,,,,ID:y/QgU3wX0(1/3),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0233 キチンシンク(庭) [FR] 2025/11/27(木) 05:37:39.23",">>26
ハッキリとなんて言えないんだよ",,,,>>26,,ID:s4moFe/q0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0234 エクスプロイダー(庭) [ﾆﾀﾞ] 2025/11/27(木) 09:50:22.96",意味不明www,,,,,,ID:mStJt4HQ0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0235 男色ドライバー(庭) [US] 2025/11/27(木) 10:11:44.11",台湾くんだりまで行く義理はねぇよ,,,,,,ID:P8tT7RHW0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0236 シャイニングウィザード(庭) [IN] 2025/11/27(木) 10:40:42.77",">>15
やらんでもいいのにそれをやったのが岡田。",,,,>>15,,ID:7eZ4TKhr0(1/4),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0237 シャイニングウィザード(庭) [IN] 2025/11/27(木) 10:45:07.18",">>227
ほんとこれ。

台湾有事で何かをするなら中国が怒る、何もしないなら台湾が怒る、せいぜい米軍のお手伝いだがそれを言うと中国が怒る、今回の高市みたいにどちらとも取れる事を言うとみんな怒る。

それをわかってて岡田は質問してる。

そこだけなら「それが日本だよ」と納得してくるただろうが、朝日が言ってもいない「武力行使」を書いちゃった。

これで中国の凶暴性がわかったのは岡田も誤算だったろうな。",,,,>>227,,ID:7eZ4TKhr0(2/4),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0238 キチンシンク(東京都) [EU] 2025/11/27(木) 12:26:39.24",">>236
いやだからハッキリしたらいいじゃん
ハッキリ出来ないならいきり立ってんしゃねーよ、って話",,,,>>236,,ID:nbR/e3fZ0,2,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0239 ラ ケブラーダ(ジパング) [ﾆﾀﾞ] 2025/11/27(木) 13:00:24.55",">>238
落ち着けよ
イキリ立ってるのは中国だけだ",,,,>>238,,ID:3lxSFy090,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0240 ドラゴンスクリュー(東京都) [US] 2025/11/27(木) 13:07:11.75","高市を擁護するためのものだな
台湾侵攻が始まった場合、日本の対応をどうするかは、その時の総理の独断で決められることじゃないし。
まだ起きていない出来事の見解を言ったところで、それに縛られて日本が動くということにはならんから。
中国の反応が馬鹿げてるという話だ。",,,,,,ID:U89qwTGd0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0241 ネックハンギングツリー(新日本) [US] 2025/11/27(木) 13:33:14.14",">>1
日本語わからないのか？",,,,>>1,,ID:Cnh/mezQ0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0242 (東京都) [US] 2025/11/27(木) 14:33:02.89","関連スレ

台湾政党が高市首相に感謝の書簡「我々の心を強く奮い立たせるものでした」 [662593167]
http://hayabusa9.5ch.../news/1763448125/l50",https://be.5ch.net/user/966593837,https://img.5ch.net/ico/sii_mona.gif,http://hayabusa9.5ch.net/test/read.cgi/news/1763448125/l50,http://hayabusa9.5ch.../news/1763448125/l50,,ID:xAg43EVY0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0243 シャイニングウィザード(庭) [IN] 2025/11/27(木) 14:44:08.39",">>238
質問したのは岡田で答えたのが高市。

岡田「台湾有事なら存立危機事態」ですよね？
高市「シーレーンがストップしたならそうなります」

そうなるんだから「そうなる」としか言えない。王手飛車取りの質問。

岡田は「してやったり」と思ったのかもしれないが、朝日公式Xが高市が言ってもいない「武力行使」を書き、それに中国領事館が首切り発言しちゃったのが大誤算。

これで中国が凶悪な軍事大国であると宣伝しちゃったのがなう。",,,,>>238,,ID:7eZ4TKhr0(3/4),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0244 シャイニングウィザード(英雄都市アレックス) [ﾆﾀﾞ] 2025/11/27(木) 14:44:48.16",ったく…黙ってトランプしゃぶってろよ傍迷惑なオバハンってか,,,,,,ID:KZ2dFMgx0,1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0245 ローリングソバット(やわらか銀行) [ﾆﾀﾞ] 2025/11/27(木) 15:32:01.43",つまり中国からの批判は不当ってことなんだが？ｗ,,,,,,ID:8y98KHCs0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0246 ドラゴンスリーパー(愛知県) [US] 2025/11/27(木) 15:33:21.28","頭悪い中国人の紹介動画
https://www.youtube..../watch?v=3qLq97aiFsg",,,https://www.youtube.com/watch?v=3qLq97aiFsg,https://www.youtube..../watch?v=3qLq97aiFsg,,ID:0ZymNaS40(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0247 シャイニングウィザード(庭) [IN] 2025/11/27(木) 17:56:40.14",">>244
高市は何も言って無いんで、

トランプ「台湾問題は抑えてください」
高市「岡田と朝日をシメなきゃならんな」

だなあ",,,,>>244,,ID:7eZ4TKhr0(4/4),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0248 ファルコンアロー(庭) [DE] 2025/11/27(木) 17:58:58.92",台湾としても中国の一部の方が安全だしこのままを選ぶよ,,,,,,ID:XyFXEPJV0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0249 エクスプロイダー(大阪府) [FR] 2025/11/27(木) 19:35:42.03","世界一流紙（ロイター、ブルームバーグ、WSJ） 「トランプが高市首相に挑発しないよう助言」 一斉報道 [271912485]
https://hayabusa9.5c...cgi/news/1764211069/",,,https://hayabusa9.5ch.net/test/read.cgi/news/1764211069/,https://hayabusa9.5c...cgi/news/1764211069/,,ID:y/QgU3wX0(2/3),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0250 タイガースープレックス(やわらか銀行) [EE] 2025/11/27(木) 19:41:13.23","高市ってそれ以上何も言ってなくね？

Xの大喜利祭りが高市による挑発に見えてるのかねパヨは",,,,,,ID:qECBi8CI0,1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0251 スターダストプレス(みかか) [AU] 2025/11/27(木) 20:33:29.02",">>103
言ってる方のロジックがおかしいからそら怒るわなw",,,,>>103,,ID:1bl34BcC0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0252 中年'sリフト(みかか) [FI] 2025/11/27(木) 20:43:37.44",>>1がバカなだけじゃねえか,,,,>>1,,ID:sNdRbXx30,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0253 エクスプロイダー(大阪府) [FR] 2025/11/27(木) 21:55:31.61",ホラッチョ高市,,,,,,ID:y/QgU3wX0(3/3),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0254 張り手(神奈川県) [EU] 2025/11/28(金) 06:56:47.50",">>1
普通にそう解釈するのが正しい(⁠・⁠∀⁠・⁠)
だから中国は牽制している(⁠・⁠∀⁠・⁠)
お馬鹿な国内親中派を使ってね(⁠笑)",,,,>>1,,ID:f8BzQlgz0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0255 ストレッチプラム(北海道) [ﾆﾀﾞ] 2025/11/28(金) 07:01:46.56",">>2
中国と台湾で解釈が違うのは普通
危機管理の観点で",,,,>>2,,ID:CZVQFkVY0(1/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0256 ストレッチプラム(北海道) [ﾆﾀﾞ] 2025/11/28(金) 07:03:27.79",">>250
何も言わないから問題が大きくなっている
取り返しがつかないところまで行ってる
ここにきて年末ボーナスの出せない会社が増えそう",,,,>>250,,ID:CZVQFkVY0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0257 シャイニングウィザード(庭) [IN] 2025/11/28(金) 08:13:55.05",">>66
>>173
高市が言ってもいない「武力行使」を書いたのは朝日公式Xで、それに首切り反応したのは中国領事館。朝日は6時間後に「武力行使」と言う文言を消しちゃった。

中国が謝罪するワケが無いが、発端は日本の大手新聞社なので「そんなメディアは処分しろ」とおっしゃってるのかもしれんなw",,,,>>173,,ID:gZs1Wzvp0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,>>66
"垢版
|
0258 ジャンピングカラテキック(庭) [ﾆﾀﾞ] 2025/11/28(金) 09:07:01.53",意味不明とか言われちゃってるしwww,,,,,,ID:37Pgy4850,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0259 タイガースープレックス(やわらか銀行) [US] 2025/11/28(金) 09:34:59.85",タイトル詐欺に騙されてる馬鹿発見w,,,,,,ID:7iNBw9UR0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
