css-1jxf684,css-1jxf684 (2),css-146c3p1 href,css-146c3p1,css-1jxf684 (4),css-1jxf684 (5),css-1jxf684 (6),css-1jxf684 (7),css-1jxf684 (8),css-175oi2r href (4),css-1jxf684 (9),css-9pa8cd src (2),css-1jxf684 href,css-1jxf684 (10),css-146c3p1 (2),css-1jxf684 (11),css-1jxf684 (12),css-1jxf684 (13),r-4qtqp9 src,r-4qtqp9 src (2),css-9pa8cd src (3),css-1jxf684 href (2),css-146c3p1 href (2),css-175oi2r href (5),css-9pa8cd src (4),css-175oi2r href (6),css-175oi2r href (7),css-9pa8cd src (5),r-4qtqp9 src (3),r-4qtqp9 src (4),css-146c3p1 (3),css-1jxf684 (15),css-1jxf684 (16),css-1jxf684 (17),css-1jxf684 (14),r-4qtqp9 src (5),r-4qtqp9 src (6),css-175oi2r href (8),css-1jxf684 href (3),css-1jxf684 (18),css-1jxf684 (19),css-9pa8cd src (6),css-1jxf684 (20),css-1jxf684 href (4),css-1jxf684 href (5),r-4qtqp9 src (7),r-4qtqp9 src (8),r-4qtqp9 src (9),r-4qtqp9 src (10)
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1737733322963656871,2023年12月21日,今朝のAI戦略会議で、総理から「AIセーフティ?インスティテュート」を来年１月目途で設立する旨の御発言を頂き、喜んでいます。これで、既にAI安全性研究機関を設立している英国や米国と連携して、安全性の評価手法の研究や規格作成に取り組む事が出来ます。,,89,960,"6,726",https://x.com/takaichi_sanae/status/1737733322963656871/analytics,17万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1734376997374296101,2023年12月12日,"今年4月に日本初の国家戦略として策定した「フュージョンエネルギー?イノベーション戦略」を踏まえ、核融合の「産業協議会」の今年度中の設立に向け、参加企業を募集中です。
受付は12月15日までです。内閣府HPをご覧ください。",,270,"1,196","8,450",https://x.com/takaichi_sanae/status/1734376997374296101/analytics,27万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1731560823427076350,2023年12月4日,奈良県上牧町の株式会社サカガワ大和工房が製造している雪駄です。すごく可愛くて、気持ち良い履き心地で、ハマリました?,,253,708,"8,627",https://x.com/takaichi_sanae/status/1731560823427076350/analytics,23万,https://pbs.twimg.com/media/GAe8rt_a0AAOQ_P?format=jpg&name=900x900,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1731560823427076350/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1731199442072850754,2023年12月3日,昨日は、九州の経済界の方々が企画して下さった「高市早苗さんと歩む福岡県民の会1000人大会」で、科学技術政策など講演をさせて頂きました。申込みが1000人を超えて数百名の方が会場に入れなかったと伺い申し訳なく存じましたが、多くの方に話を聴いて頂き感謝の気持ちで一杯です。福岡県の皆様、有難,显示更多,293,"1,570",1.2万,https://x.com/takaichi_sanae/status/1731199442072850754/analytics,50万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1730474232189206948,2023年12月1日,今日、茨城県のQTS那珂研究所で開催された「JT-60SA運転開始記念式典」で祝辞を述べさせて頂きました。2013年に組立開始、2020年に統合試験運転。その後の課題を克服して、今年10月23日に初プラズマ生成！核融合発電に向けた大きな一歩。令和7年の本格運転開始を目指す同研究所の日欧の研究者?技術者,显示更多,189,"1,155","8,416",https://x.com/takaichi_sanae/status/1730474232189206948/analytics,30万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1728368806794592676,2023年11月25日,今日のYouTube高市早苗チャンネルでは、中国の『反スパイ法』（今年改正）について、特に気になる条文と、中国滞在中や出張予定のある日本人の皆様に御留意頂きたい点を、語らせていただきました。併せて、私の公式サイトのコラム欄に『反スパイ法』の全条文をアップ致しました。,,361,"3,350",1.7万,https://x.com/takaichi_sanae/status/1728368806794592676/analytics,43万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1728368042571423917,2023年11月25日,今日は、三重県では補正予算案に計上した宇宙関連予算とJAXA法改正案について、大阪府では科学技術政策とセキュリティ?クリアランスについて、講演を致しました。長距離移動でしたが、多くの皆様に元気を頂き、感謝の１日でした。,,131,844,"7,784",https://x.com/takaichi_sanae/status/1728368042571423917/analytics,21万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1726147583519981908,2023年11月19日,今朝のNHK日曜討論に出演後、奈良県消防大会に出席する事が出来ました。昨夏以降の警護強化でご参加の皆様に持ち物検査などのご負担をおかけするので、屋外行事や県市町村主催行事は全て出席を辞退していましたが、県消防協会長が「気にせず帰っておいで」と言って下さったそうで、嬉しい故郷帰りでし,显示更多,241,"1,102",1万,https://x.com/takaichi_sanae/status/1726147583519981908/analytics,34万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1726108456204333389,2023年11月19日,先輩政治家のお通夜に出かけるギリギリの時間帯に純粋に勉強をしに来られた議員の氏名や派閥名を晒して政局扱いにした一部記者にも憤慨しましたが、テレビ番組で政府与党の批判をしたり、本会議場で総理の批判をされた方々に、まるで私が謀反を起こしたかの様な発言をして頂きたくはありません。,,423,"3,937",2.2万,https://x.com/takaichi_sanae/status/1726108456204333389/analytics,65万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1726104348529459412,2023年11月19日,過去に、森内閣の支持率が一桁台になった時、「首班指名選挙の本会議で国民の皆様の代わりに森総理のお名前を書いた限り、与党議員には支持率が1%になっても支える義務がある」と発言し、大バッシングを受けましたが、それは今でも私の矜持です。岸田総理をお支えするべく、懸命に働いています。,,974,"3,254",2万,https://x.com/takaichi_sanae/status/1726104348529459412/analytics,226万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1726104210113286644,2023年11月19日,議員連盟「日本のチカラ」研究会に参加した事で、散々叩かれています。岸田内閣の政策に反対する会合ならともかく、岸田内閣で閣議決定した『国家安全保障戦略』に記された理念を掘り下げる事を目的とした議員連盟です。現職閣僚が担務外の政策を同僚議員と一緒に勉強する事の何が悪いのか、意味が分か,显示更多,"1,501","6,524",3.4万,https://x.com/takaichi_sanae/status/1726104210113286644/analytics,139万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1725987944983646612,2023年11月19日,昨夜は、井野俊郎代議士からのお誘いで、群馬県の伊勢崎クラブ市政報告会で経済安全保障の講演をさせて頂きました。昨夏の参院選で中曽根弘文先生の演説会に伺った時にも感じた事ですが、群馬県の方々の礼儀正しさや温かさに、改めて感動致しました。,,112,726,"7,575",https://x.com/takaichi_sanae/status/1725987944983646612/analytics,16万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1725147519640842560,2023年11月16日,今夕、内閣府主催の宇宙を活用したビジネスアイデアコンテスト「S-Booster2023」の最終選抜会で挨拶。ファイナリストのアジア、オセアニア、国内の計14チームのアイデアは素晴らしいものばかり。グローバル市場で活躍するスタートアップが増える手応えに、心躍るひと時でした。,,112,638,"6,049",https://x.com/takaichi_sanae/status/1725147519640842560/analytics,15万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1725072191518277734,2023年11月16日,国会の大先輩が相次いで他界され、淋しさが募ります。昨日は内閣委員会の答弁時間帯と重なり、細田博之先生のご葬儀に参列できませんでしたが、今日は国会対応が午後からでしたので、午前中に若林正俊先生のご葬儀に参列。先輩方の長年の御指導に感謝致しつつ、御冥福をお祈り申し上げます。,,165,"1,009",1.1万,https://x.com/takaichi_sanae/status/1725072191518277734/analytics,26万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1723627004208328747,2023年11月12日,今週末は北海道の応援団の皆様が国政報告会を開催して下さり、初雪を迎えた札幌市に行ってきました。御地元の中村裕之代議士や高木宏壽代議士が駆け付けて下さり、サプライズで井上和彦先生も登場。主に科学技術政策を語りましたが、同僚議員の前で話すのは照れ臭いものです。お世話になった皆様、有難,显示更多,179,859,"8,564",https://x.com/takaichi_sanae/status/1723627004208328747/analytics,26万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1722864315009835484,2023年11月10日,9月から新たに「クールジャパン戦略」も担当する事になりました。既に戦略に記載されている「農林水産物輸出」に「米粉製品輸出」も加えたくて担当幹部に話したところ、数日後、「大臣が言っておられたうどん粉、検討させています」だと。うどん粉ではなく、米粉やがな…,,456,"1,741",1.3万,https://x.com/takaichi_sanae/status/1722864315009835484/analytics,45万,,,,,,,,https://abs-0.twimg.com/emoji/v2/svg/1f622.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1722863393558970852,2023年11月10日,欧米でも小麦アレルギーに悩む方が増えている中、日本の厳しいノングルテン基準の米粉で作ったパスタやピザ生地などは、世界市場に大規模展開できる食品だと期待しています。米粉用の米を作付けされる農家と米粉に特化した工場を増やすべく、頑張ります!,,456,"3,379",2.1万,https://x.com/takaichi_sanae/status/1722863393558970852/analytics,50万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1721169393139482939,2023年11月5日,大阪府警の皆様は、昨夜も今夜も道頓堀周辺の厳重警護。飛び込む人が居ても怪我をしないよう、道頓堀の水位を上げたとか。「明日が平日なので、昨夜の優勝よりは警護が短時間で済む」「バファローズ優勝の方が警護が楽かも」など、安全を守る方々のホンネ。タイガースファンの皆様、おめでとうございま,显示更多,253,971,1万,https://x.com/takaichi_sanae/status/1721169393139482939/analytics,50万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1721166888741597564,2023年11月5日,ダンナによると、私は野球観戦中に人格が変わるそうです。「ボケーッ」「アホンダラ」「いてまえっ」「よっしゃー」など絶叫を続けた上、やたら独り言をつぶやきながらテレビの前から動かんので、別人にしか見えんとか。家出か別居の危機目前か…,,"1,174","2,330",2.7万,https://x.com/takaichi_sanae/status/1721166888741597564/analytics,216万,,,,,,,,https://abs-0.twimg.com/emoji/v2/svg/1f605.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1721165729255526632,2023年11月5日,今日は、大阪府で宇宙政策や科学技術政策などの講演後、飛行機で大急ぎで上京。日本シリーズ最終戦は、１回裏からですがテレビ観戦できました。38年ぶりのアレのアレに、感動で号泣。素晴らしい試合を見せて下さった両チームの皆様に感謝申し上げます!,,134,795,"8,590",https://x.com/takaichi_sanae/status/1721165729255526632/analytics,23万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1720363700702605756,2023年11月3日,10月28日のYouTube高市早苗チャンネルで話した「中国が日本のEEZ内にブイを設置した件」ですが、今週の予算委員会でも本件に関する質疑がありました。日本の同意なく構造物を設置した事は『国連海洋法条約』違反ですが、同条約には「撤去」に関する規定がなく、今も外務省が中国に撤去を要請中。規定が,显示更多,"2,004","5,397",2.4万,https://x.com/takaichi_sanae/status/1720363700702605756/analytics,178万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1720078750657003561,2023年11月2日,よりによって日本シリーズ試合開始時間に開催された河野太郎大臣のパーティ。お祝スピーチ後に大急ぎで帰宅してテレビをつけたら、総理の記者会見。真面目な閣僚としては会見を最後まで見守る事を優先し、うがい＆手洗いをしてたら、リードされとった。しかし、８回裏に怒濤の逆転劇やったぁぁぁ！,,675,"2,107",2.1万,https://x.com/takaichi_sanae/status/1720078750657003561/analytics,100万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1717168901744939017,2023年10月25日,今日は、午前の参院本会議では世耕弘成議員が、午後の衆院本会議では馬場伸幸議員と玉木雄一郎議員が、それぞれセキュリティ?クリアランス制度の必要性に触れて質問して下さり、岸田総理が「次期通常国会における法案の提出に向け…」と答弁で明言して下さったので、嬉しい限りでした。頑張ります!,,554,"2,798",1.9万,https://x.com/takaichi_sanae/status/1717168901744939017/analytics,55万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1716449415698002246,2023年10月23日,今夜は、日本保育協会創立60周年?女性部創立50周年記念祝賀会に伺いました。2017年に2万6000人超だった待機児童数が、昨年には3000人未満となりました。ゼロを目指す為には更なる取組が必要ですが、この6年間の保育関係の皆様のご尽力に感謝です！,,161,843,"7,631",https://x.com/takaichi_sanae/status/1716449415698002246/analytics,20万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1714530187885601035,2023年10月18日,今日は、情報通信研究機構（NICT）を視察させて頂きました。サイバーセキュリティ、衛星光通信、量子暗号、生成AIの各技術。関西の拠点も含めると同機構の視察は3回目ですが、更なる研究開発の進展に感嘆でした。役員、職員の皆様、有難うございました!,,219,"1,164","9,535",https://x.com/takaichi_sanae/status/1714530187885601035/analytics,29万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1713190123398184993,2023年10月14日,鳥取県の方から伺って初めて知った話ですが、最近は鳥取砂丘に草が生え始め、地元の方々が草抜きをしておられるとか。砂漠化に悩む国々もある中、環境的には良い現象にも思えましたが、やはり「砂漠」「砂場」は鳥取観光の売りですから、色々とご苦労があるんやなぁ…としみじみ。,,264,"1,004",1.2万,https://x.com/takaichi_sanae/status/1713190123398184993/analytics,42万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1713185181061009788,2023年10月14日,帰路の空港に平井鳥取県知事が見送りに来て下さり、あの有名な「すなば珈琲」をご馳走になりました。お店からポットで運んで来て下さったとか。懐かしい味の本格派コーヒー、美味しかったです！嬉しい１日になりました。平井知事、米子市の皆様、有難うございました。,,100,570,"8,300",https://x.com/takaichi_sanae/status/1713185181061009788/analytics,20万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1713179574824271874,2023年10月14日,今日は、鳥取県米子市で「経済安全保障」について講演する機会を賜りました。赤澤亮正代議士も来賓として駆け付けて下さいました。古くから「山陰の商都」として栄えた米子市の皆様は明るく開放的な気質と聞いていましたが、お会いしてみて納得。話を聴いて頂いた多くの皆様、有難うございました!,,97,608,"5,661",https://x.com/takaichi_sanae/status/1713179574824271874/analytics,16万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1712397042079973668,2023年10月12日,7月に岸田総理とサウジアラビアの皇太子兼首相が宇宙分野での協力を進める旨の合意をされた事を受けて、今日はスワーハ宇宙庁長官（兼通信?情報技術大臣）が来訪されました。両国の宇宙担当閣僚の会談は、史上初とのこと。今後は、互恵的な協力の具体化を進めてまいります。,,187,"1,118","9,845",https://x.com/takaichi_sanae/status/1712397042079973668/analytics,29万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1712099175058534798,2023年10月11日,藤井聡太さん、八冠制覇おめでとうございます！凄い事を達成されたのに、喜び爆発という感じではなく、淡々とした記者会見の応答ぶりが楽し過ぎて、テレビの前でつい笑ってしまうのは私だけ？亡親にも主人にも「考えている事が、すぐに顔に出る」と言われ続けてきた私が見習うべき偉大な若者です。,,192,"1,413",1.7万,https://x.com/takaichi_sanae/status/1712099175058534798/analytics,38万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1712093392346485125,2023年10月11日,今日の読売新聞を読んでショック。IAEA総会で中国代表が「核汚染水」と日本を批判したので反論したのですが、岸田総理が「中国を再び刺激しないか」と周囲に不安を漏らしておられたとの記事。私は日本の水産関係者を守りたい一心だったのですが、結果的に国益を損ねたという事なのか…,,"5,848",1.4万,6.1万,https://x.com/takaichi_sanae/status/1712093392346485125/analytics,661万,,,,,,,,https://abs-0.twimg.com/emoji/v2/svg/1f622.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1711340640087445762,2023年10月9日,今夜、肌寒い中を木原ひろしさんの街頭演説会にお出かけ下さった立川市民の皆様、有難うございました!お風邪を召されませんように。木原ひろしさんの素晴らしい政策に感動したひと時でした。,,102,512,"4,705",https://x.com/takaichi_sanae/status/1711340640087445762/analytics,16万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1711340131901382961,2023年10月9日,今日、南モンゴル問題勉強会を開催して下さった皆様、参加して下さった皆様、有難うございました。中国によるモンゴル民族への弾圧の実態に理解を深めて頂けた事だと存じます。日本企業の皆様にも「人権DD」への更なるお取組をお願い申し上げます。,,135,"1,272","8,822",https://x.com/takaichi_sanae/status/1711340131901382961/analytics,34万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1710967573251297433,2023年10月8日,明日9日18:30?立川駅北口伊勢丹前で開催される木原ひろし氏の街頭演説会に伺う予定です。関西で午後の行事出席後に飛行機で上京しますので、飛行機の遅れや道路渋滞があれば遅参するかもしれませんが、立川市民の皆様にお会いする事を楽しみに致します。,,162,815,"6,560",https://x.com/takaichi_sanae/status/1710967573251297433/analytics,30万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1708448601180192912,2023年10月1日,今日は、日本主催の国際科学技術関係大臣会合でした。昨年はコロナ禍で少数でしたが、今日は23カ国の大臣等による活発な議論が行われました。ウクライナの教育科学大臣からはビデオメッセージが届き、子供や教育者や科学者が命を落とす日々の話に涙…。,,215,"1,238",1.1万,https://x.com/takaichi_sanae/status/1708448601180192912/analytics,26万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1708025680393601093,2023年9月30日,今週はIAEA総会でウィーン出張でしたが、今はロシア上空を飛べないので、移動に片道18時間もかかり、かなり疲れました。事情が許す限り訪問国の戦没者慰霊碑に参拝させて頂いていますが、今回もオーストリアの戦没者慰霊碑に献花が叶い、段取りをして下さった方々に感謝です。,,405,"2,522",2万,https://x.com/takaichi_sanae/status/1708025680393601093/analytics,37万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1704482315265802326,2023年9月20日,昨日のXで「留任に不満？」と誤解した方が居られたようですが、人事前には大掃除をするのが私の拘り。後任者に気持ち良く部屋を使って頂く為です。総務大臣室は４回掃除をして２回は留任で無駄に。政調会長室も３回掃除をして１回は無駄に。机の中も棚も拭き掃除まで仕上げないと納得できん性分や…。,,936,"3,341",3.2万,https://x.com/takaichi_sanae/status/1704482315265802326/analytics,73万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1704063176663499135,2023年9月19日,先週は、大臣室の掃除を殆ど済ませたところで留任となり、戸惑いましたが、経済技術版のセキュリティ?クリアランス制度を創設する為の法整備が、今の私が最優先で成し遂げるべき使命だと考え、懸命に働く決意です。,,"1,077","5,249",3.9万,https://x.com/takaichi_sanae/status/1704063176663499135/analytics,80万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1702293333492863333,2023年9月14日,昨夜遅くスマホを見たら、100通を超えるメールが溜まっていました。大臣再任祝のメールなら返信しなくては…と思いましたが、殆どが18年ぶりの「アレ」に関するメールでした,,687,"4,512",4万,https://x.com/takaichi_sanae/status/1702293333492863333/analytics,232万,,,阪神タイガースの皆様、おめでとうございます！,,,,,https://abs-0.twimg.com/emoji/v2/svg/1f605.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1699592293718904855,2023年9月7日,今朝8：42に、H-IIAロケット47号機が予定通りリフトオフ。搭載した「XRISM（X線分光撮像衛星）」と「SLIM（小型月着陸実証機）」の分離と所定の軌道投入にも成功しました！上空の気象条件から打上げが延期されていましたが、関係者の皆様の入念なご準備とご努力に敬意を表し、感謝致します。,,293,"2,737",1.9万,https://x.com/takaichi_sanae/status/1699592293718904855/analytics,34万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1699339955120877824,2023年9月6日,中村正三郎元法務大臣の訃報にも接し、淋しい限りです。中村先生は、私のスキューバダイビングの師匠でした。船舶免許をお持ちで、沖合の美しいスポットに連れて行って下さいました。海中を自由自在に泳ぎ、船上では政策を熱く語っておられた御姿を偲んでいます。,,93,575,"6,380",https://x.com/takaichi_sanae/status/1699339955120877824/analytics,24万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1699339139542548978,2023年9月6日,防衛庁長官や議院運営委員長として活躍された大野功統先生のお別れの会に参列致しました。私が当選２期で自民党財政部会長代理を務めた時に、色々とアドバイスを賜った事を懐かしく思い出しました。優しくて偉大だった先輩の御冥福をお祈り申し上げます。,,49,442,"4,412",https://x.com/takaichi_sanae/status/1699339139542548978/analytics,13万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1698354761115070977,2023年9月3日,島村大参議院議員のお通夜に参列しました。日本歯科医師連盟理事長を務められた後、政界では厚生労働委員長や厚生労働大臣政務官として大活躍。まだ63歳…。御令室はじめ御遺族の深いお悲しみに接し、辛くてなりませんでした。御冥福を祈念申し上げます。,,92,490,"5,941",https://x.com/takaichi_sanae/status/1698354761115070977/analytics,21万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1697520116345569529,2023年9月1日,午後からは、小型SAR衛星コンステレーション構築を目指すSynspective社と、スペースデブリ除去?軌道上サービスで世界を牽引するAstroscale社を視察させて頂きました。いずれも日本が誇れる技術を有するスタートアップ。益々の発展を期待申し上げます!,,137,"1,146","9,656",https://x.com/takaichi_sanae/status/1697520116345569529/analytics,27万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1697516475626799549,2023年9月1日,今朝は、7時10分に東京23区を震源とする最大震度7の地震が発生したという想定で、官邸参集?緊急災害対策本部?臨時閣議という防災訓練でした。実災害の対応も経験していますが、改めて各省庁の初動を頭に叩き込む機会となりました。,,173,"1,363",1.3万,https://x.com/takaichi_sanae/status/1697516475626799549/analytics,30万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1696797925442265564,2023年8月30日,第2に「G7議長国としての対応」です。5月のG7広島サミットでG7首脳は「経済的威圧にはG7が結束して対抗する」旨を合意したと記憶します。議長国として、G7各国及びサミットに参加していたEUにも呼び掛け、経済的威圧に対して結束して対抗する姿を世界に見せる機会となり得る案件です。,,240,"2,366",1.4万,https://x.com/takaichi_sanae/status/1696797925442265564/analytics,33万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1696797777215586671,2023年8月30日,第1に「WTO提訴（先ずは協議要請）」です。結論が出るまでに何年もかかりますから、いずれ中国政府の措置が変わる可能性もあります。オーストラリアの例もあり「仮に敗訴したら」と心配する必要は無いはずです。今後の同様事案への抑止効果を考えても、日本の姿勢を示すことが必要だと考えました。,,362,"3,537",2万,https://x.com/takaichi_sanae/status/1696797777215586671/analytics,47万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1696797404757160100,2023年8月30日,昨朝の記者会見では突然のご質問を受け、外務省や経産省の所管であることを申し上げた上で、経済安全保障担当相としての私の考えを述べました。申し入れをしても中国政府が「日本産水産物輸入停止措置」を止めない場合に備え、日本政府も更なる対策を真剣に検討するべき段階に来ていると思います。,,759,"5,548",3.1万,https://x.com/takaichi_sanae/status/1696797404757160100/analytics,143万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1695934772894392483,2023年8月28日,昨夜22時15分、古川聡宇宙飛行士が搭乗するクルードラゴン宇宙船が国際宇宙ステーションにドッキングしました。これからの約半年間、細胞生物学や材料科学の実験、超小型衛星の放出など、様々なミッションの成功を祈念致します。,,119,974,"8,911",https://x.com/takaichi_sanae/status/1695934772894392483/analytics,22万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1695704905284235519,2023年8月27日,選挙区の奈良２区でお招き頂いた行事にも参加したくてたまらないのですが、昨夏の事件以降は警護が強化され、参加される方々が金属探知器や手荷物検査を受けると聞き、主催者や参加者の皆様のご負担が増えますので、警護対象者である間は我慢して欠席としています。,,208,"1,501",1.1万,https://x.com/takaichi_sanae/status/1695704905284235519/analytics,31万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1695704365007605916,2023年8月27日,党務出張の飛行機内は、私にとって貴重な読書時間です。1往復で1冊は読めますので、今週末は2冊。特に児玉安司先生著の『医療と介護の法律入門』では、過去の累次の法改正を時系列で整理して復習できた上、新たな政治課題に気付かせて頂きました。,,137,840,"8,285",https://x.com/takaichi_sanae/status/1695704365007605916/analytics,17万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
